V1,id,question,treatment,property,abs_value_diff,value_diff,Index,Property,question_treatment,question_control,population_density,walk_score,median_household_income,median_age,race,median_rooms_rounded,bedrooms,bathrooms,sq_ft,year_built,housing_density,median_male_age,pct_white,school_districts,pct_lt_hs_grad,median_rooms,pct_hs_grad,pct_at_least_col_grad,GEOID,state,tract,NAME,ALAND,ALAND_SQMI,county,Pair_ID,INTPTLAT,INTPTLONG,iframe,Racial majority detail,white_value_diff,is_white,street_view_person
36,42,3n,0,Property 1,10000,10000,5492,Property 1,p3s-1,p3n-1,6441.212121,15.36666667,66429,39.6,white,4,3,2,2108,2002,2397.575758,39.2,0.7305231464,['Burbank Unified School District'],0.07502569373,4.5,0.1852517986,0.3491778006,6037310800,6,310800,"Census Tract 3108, Los Angeles County, California",2136454,0.825,37,3,34.1741488,-118.3221829,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/33c77d1b45912882?cells=test""""></iframe>",white alone,10000,1,0
39,43,3n,0,Property 2,20000,-20000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-20000,0,0
41,45,3n,0,Property 2,8000,-8000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-8000,0,0
43,47,3n,0,Property 2,15000,-15000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-15000,0,0
45,48,3n,0,Property 2,7000,-7000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-7000,0,0
47,49,3n,0,Property 2,14000,-14000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-14000,0,0
49,51,3n,0,Property 2,500,-500,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-500,0,0
51,52,3n,0,Property 2,8000,-8000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-8000,0,0
53,54,3n,0,Property 2,1000,-1000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-1000,0,0
54,56,3n,0,Property 1,5000,5000,5492,Property 1,p3s-1,p3n-1,6441.212121,15.36666667,66429,39.6,white,4,3,2,2108,2002,2397.575758,39.2,0.7305231464,['Burbank Unified School District'],0.07502569373,4.5,0.1852517986,0.3491778006,6037310800,6,310800,"Census Tract 3108, Los Angeles County, California",2136454,0.825,37,3,34.1741488,-118.3221829,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/33c77d1b45912882?cells=test""""></iframe>",white alone,5000,1,0
57,57,3n,0,Property 2,1000,-1000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-1000,0,0
