Unnamed: 0,population_density,housing_density,median_age,median_male_age,pct_white,median_income,school_districts,pct_lt_hs_grad,median_rooms,pct_hs_grad,pct_at_least_col_grad,GEOID,state,tract,NAME,NatWalkInd,ALAND,ALAND_SQMI,county,Pair_ID,INTPTLAT,INTPTLONG
5550,9410.852713178294,2306.201550387597,31.0,30.7,0.3422570016474464,54375,['El Rancho Unified School District'],0.3822751322751322,4.4,0.3171296296296296,0.1256613756613756,6037500402,6,500402,"Census Tract 5004.02, Los Angeles County, California",15.38888889,1335853,0.516,37,8.0,34.0036015,-118.0763818
4151,6705.615942028985,1881.3405797101448,38.2,38.2,0.7144400918546535,82479,"['Downey Unified School District', 'Los Angeles Unified School District']",0.2140878512069647,5.4,0.2241788682231895,0.3041155520379897,6037550800,6,550800,"Census Tract 5508, Los Angeles County, California",13.595238095285714,2860226,1.104,37,9.0,33.95127,-118.1433556
4270,7156.950672645739,1690.5829596412557,38.5,39.1,0.3815789473684211,79750,"['Long Beach Unified School District', 'Paramount Unified School District']",0.2123893805309734,5.5,0.2366092221704704,0.1709361900326036,6037570100,6,570100,"Census Tract 5701, Los Angeles County, California",14.0,1154366,0.446,37,9.0,33.8644628,-118.1532212
6325,3665.6611362493713,1261.437908496732,45.4,46.2,0.2269921821423673,133993,"['Buena Park Elementary School District', 'Fullerton Elementary School District', 'Fullerton Joint Union High School District', 'La Habra City Elementary School District', 'Lowell Joint Elementary School District']",0.0310548230395558,6.4,0.0723455933379597,0.6580499653018737,6059001707,6,1707,"Census Tract 17.07, Orange County, California",11.625,5152163,1.989,59,10.0,33.9046917,-117.9681615
6441,4663.489736070381,1537.390029325513,45.6,45.3,0.7489388460933816,137266,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.0383519614288845,7.2,0.0845934692088538,0.6046460661845278,6059032038,6,32038,"Census Tract 320.38, Orange County, California",11.166666664333334,3532420,1.364,59,10.0,33.5941166,-117.6450407
6327,8937.743190661478,3256.8093385214006,43.2,43.3,0.7525032651284284,108478,"['Huntington Beach Union High School District', 'Ocean View Elementary School District']",0.0531112507856693,5.7,0.1543054682589566,0.4311753614079195,6059099408,6,99408,"Census Tract 994.08, Orange County, California",14.055555556666668,1331052,0.514,59,11.0,33.7226068,-118.0371737
6347,9838.43537414966,3042.5170068027214,42.9,42.8,0.3706136560069144,111169,"['Anaheim Union High School District', 'Centralia Elementary School District', 'Cypress Elementary School District']",0.0849146110056926,6.1,0.1662713472485768,0.4786527514231499,6059110102,6,110102,"Census Tract 1101.02, Orange County, California",14.33333333,1522630,0.588,59,11.0,33.8416603,-118.0450025
7030,8344.262295081966,2402.550091074681,29.6,28.4,0.5217201484392054,55993,"['Alvord Unified School District', 'Riverside Unified School District']",0.2472701655512504,4.0,0.3053892215568862,0.1109545614653046,6065041408,6,41408,"Census Tract 414.08, Riverside County, California",11.916666665,1422469,0.549,65,12.0,33.9042089,-117.469161
7187,9162.087912087913,2222.5274725274726,30.1,28.0,0.3985007496251874,56130,['Moreno Valley Unified School District'],0.3206879109762266,5.4,0.3019726858877086,0.1138088012139605,6065042517,6,42517,"Census Tract 425.17, Riverside County, California",11.75,943427,0.364,65,12.0,33.9119231,-117.2131721
9720,6473.563218390805,2142.528735632184,32.1,29.8,0.4566761363636363,49677,['Fairfield-Suisun Unified School District'],0.1688022284122562,4.6,0.3448467966573816,0.1047353760445682,6095252501,6,252501,"Census Tract 2525.01, Solano County, California",14.916666665,1126761,0.435,95,13.0,38.2547036,-122.0412776
9727,6253.564154786151,2354.378818737271,31.2,29.2,0.6842533789285132,53685,['Vacaville Unified School District'],0.074124726477024,5.1,0.3574945295404814,0.1438730853391684,6095253107,6,253107,"Census Tract 2531.07, Solano County, California",15.0416666675,2543548,0.982,95,13.0,38.3420895,-121.9790512
12819,6119.318181818182,2320.075757575757,43.9,44.6,0.7932528628907459,48442,['Broward County School District'],0.1399168399168399,4.3,0.3237006237006237,0.259043659043659,12011010200,12,10200,"Census Tract 102, Broward County, Florida",13.888888887833334,2734652,1.056,11,14.0,26.3110979,-80.0978744
12696,6961.7768595041325,2882.2314049586776,43.9,44.5,0.4473957560468912,46297,['Broward County School District'],0.1117818484596169,4.6,0.324729392173189,0.2824729392173189,12011060105,12,60105,"Census Tract 601.05, Broward County, Florida",13.75,2506485,0.968,11,14.0,26.1987918,-80.2411828
